County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Bronx,Harvest Home Jacobi Hospital Fri Farmers Market,1400 Pelham Parkway,1400 Pelham Parkway,Bronx,NY,10461,Maritza Owens,2128283361,http://www.harvesthomefm.org,Fri  8am-4pm,June 25-November 19,M,Y,Y,N,Y,40.85738,-73.84631,"(40.85738, -73.84631)"
Clinton,Prays Family Farm Stand-Plattsburgh,605 State Route 3 Plattsburgh,605 State Route 3,Plattsburgh,NY,12944,Darcy Pray,5188347437,,Daily 9am-4pm,Year-round,YR,N,N,N,Y,44.6948,-73.5069,"(44.6948, -73.5069)"
Rensselaer,Veggie Mobile Sprout-O'Neil Apts,2121 6th Ave. Troy,2121 6th Ave.,Troy,NY,12180,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 3:30pm-4:15pm,Year-round,YR,Y,Y,Y,Y,42.73436,-73.68587,"(42.73436, -73.68587)"
Wayne,Lyons Farmers' Market,Village Square 32 Church St.,32 Church Street,Lyons,NY,14489,Linda Guest,3159455526,http://www.lyonsny.com/farmers-market.html,Saturday  9am-12pm,June 19-October 30,M,Y,N,N,Y,43.06336,-76.99243,"(43.06336, -76.99243)"
Cayuga,Auburn Sat Farmers' Co-op Market,96 State Street  Curley's Restaurant Pkg Lot,96 State Street,Auburn,NY,13021,Mark Soper,3157048609,http://www.auburnfarmerscoopmarketinc.com,Sat  7am-2pm,June 5-October 30,M,Y,Y,Y,Y,42.93406,-76.56985,"(42.93406, -76.56985)"
Ulster,Saugerties Farmers' Market,115 Main St.,115 Main Street,Saugerties,NY,12477,Judith Spektor,9177415524,http://www.saugertiesfarmersmarket.com,Saturday  10am-2pm,May 29-October 30,P/M,Y,Y,N,Y,42.07901,-73.94894,"(42.07901, -73.94894)"
New York,97th Street Greenmarket,125 W 97th St. btwn Amsterdam & Columbus Aves.,West 97th St and Columbus Ave,New York,NY,10025,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/west-97,Friday  8am-2pm,Year-round,YR,Y,Y,N,Y,40.79356,-73.96701,"(40.79356, -73.96701)"
Dutchess,Poughkeepsie Plenty Fresh Market Farm Stand,29 N Hamilton Street  Family Partnership Center Poughkeepsie,29 N Hamilton Street,Poughkeepsie,NY,12601,Stacy Dedring,8454543792,http://www.dutchessoutreach.org,Tue-Thu  11:30am-3:30pm,May 1-November 26,P/M,Y,Y,N,Y,41.70459,-73.92197,"(41.70459, -73.92197)"
Otsego,Oneonta Farmers' Market,Muller Plaza 205 Main St. (Rt. 7),205 Main Street,Oneonta,NY,13820,Meg Kennedy,6074342407,http://www.oneontafarmersmarket.org,Saturday  9am-12pm,May 1-October 31,P/M,Y,N,N,Y,42.45417,-75.06173,"(42.45417, -75.06173)"
Nassau,Deep Roots Farmers Market,100 Garvies Point Rd Glen Cove,100 Garvies Point Rd,Glen Cove,,11542,Amy Peters,5163185487,,Saturday 9am-1pm,June 5-November 20,M,Y,N,N,Y,40.85889,-73.64328,"(40.85889, -73.64328)"
Monroe,The Marketplace Mall,1 Miracle Mile Drive,1 Miracle Mile Drive,Rochester,NY,14623,Claire Canavan,5854246220,http://www.themarketplacemall.com,Wednesday 3pm-7pm,June 2-September 29,M,N,N,N,Y,43.08465,-77.63273,"(43.08465, -77.63273)"
Ulster,Kingston YMCA Farm Stand,507 Broadway,507 Broadway,Kingston,NY,12401,Kaycee Wimbish,8453322927,http://www.kingstonymcafarmproject.org,"Tuesday  10-12:30pm, Thursday  3:30pm-6pm",June 3-October 28,M,Y,Y,Y,Y,41.92805,-74.0007,"(41.92805, -74.0007)"
Kings,Harvest Home Coney Island Farm Stand,Ocean Parkway btwn Ave. Z & Shore PKWY.,Ocean Pkwy and Avenue Z,Brooklyn,NY,11235,Maritza Owens,2128283361,http://www.harvesthomefm.org,Fri  8am-4pm,June 18-November 19,M,Y,Y,N,Y,40.58669,-73.96578,"(40.58669, -73.96578)"
Orleans,Roberts Farm Market,11170 Maple Ridge Rd. Medina,11170 Maple Ridge Rd.,Medina,NY,14103,Margaret Roberts,7165601200,http://www.robertsfarmmarket.com,"Mon-Sat 8am-6pm, Jan-Mar: Tue-Sat 9a-5p",Year-round,YR,N,N,N,Y,43.20679,-78.40098,"(43.20679, -78.40098)"
Kings,Borough Park Greenmarket,4910 14th Ave. btwn 49th & 50th Sts.,14th Ave and 49th St,Brooklyn,NY,11219,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Thursday  8am-3pm,July 8-November 18,M,Y,Y,N,Y,40.6337,-73.98992,"(40.6337, -73.98992)"
Albany,Altamont Orchards Farm Stand,6654 Dunnsville Road Altamont,6654 Dunnsville Road,Altamont,NY,12009,Jim Abbruzzese,5188616515,http://www.altamontorchards.com,"Mon-Fri  10am-5pm, Sat-Sun  10am-4:30pm",June 14-Nov 24,M,Y,N,N,Y,42.72256,-74.01493,"(42.72256, -74.01493)"
Schenectady,Veggie Mobile-Schenectady Day Nursery,25 Lafayette St Schenectady,25 Lafayette St,Schenectady,NY,12307,Audrey Bridge,5182748685,http://www.captialroots.org,Monday 4pm-4:45pm,Year-round,YR,Y,Y,Y,Y,42.81479,-73.93633,"(42.81479, -73.93633)"
Westchester,White Plains (International) Wed Farmers' Market,125 Court St.  btwn Martine Ave. & Main St.,125 Court St,White Plains,NY,10601,Sebastien Bensidoun,4845603696,http://www.whiteplainsfarmersmarket.com,Wednesday  8:30am-3:30pm,April 21-November 24,P/M,Y,N,N,Y,41.02944,-73.76659,"(41.02944, -73.76659)"
Chemung,Grove Park Farmers' Market,4th St. & Walnut Ave. Elmira,Walnut Ave and West 4th St,Elmira,NY,14901,Matthew Glenn,6075464535,,Monday  3pm-6pm,June 7-October 25,M,Y,N,N,Y,42.0921,-76.82013,"(42.0921, -76.82013)"
Putnam,Cold Spring Farmers' Market,Boscobel House & Gardens  1601 Rt 9D Garrison,1601 State Route 9D,Garrison,NY,10516,Colin Wright,9179570695,http://www.csfarmmarket.org,Sat  8:30am-1pm,Year-round,YR,Y,Y,N,Y,41.41403,-73.93809,"(41.41403, -73.93809)"
Nassau,Restoration Farm Farm Stand,140 Bethpage-Sweet Hollow Road,140 Bethpage-Sweet Hollow Road,Old Bethpage,NY,11804,Caroline Fanning,7183094220,http://www.restorationfarm.com,"Tue/Thu  3pm-6pm, Saturday  9am-1pm",May 22-October 30,M/X/W,Y,N,N,Y,40.76181,-73.44488,"(40.76181, -73.44488)"
Niagara,Newfane Methodist Farmers' Market,2699 Main St. Newfane,2699 Main St.,Newfane,NY,14108,Amy Luckman,7167787011,,Wed  4:30pm-7pm,July 7-September 29,M,Y,N,N,Y,43.28365,-78.70879,"(43.28365, -78.70879)"
Erie,MAP Mobile Market-Buffalo Promise,"3251 Bailey Ave Buffalo,  at Dartmouth Ave Vacant Lot",3251 Bailey Ave,Buffalo,NY,14215,Danielle Rovillo,7168825327,http://www.mass-ave.org,Tuesday 3pm-5pm,June 1-October 26,M,Y,Y,N,Y,42.9433,-78.8134,"(42.9433, -78.8134)"
Rensselaer,Veggie Mobile-Van Rensselaer Heights,460 Forbes Ave. Rensselaer,460 Forbes Avenue,Rensselaer,NY,12144,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 10:45am-11:15am,Year-round,YR,Y,Y,Y,Y,42.65953,-73.73008,"(42.65953, -73.73008)"
Suffolk,Babylon Village Farmers' Market,"LIRR Babylon Station parking lot, 51 South Railorad Ave @ N. Carll Ave",51 Railroad Avenue,Babylon,NY,11702,Lona Graepel,6319442661,http://www.longislandfarmersmarkets.com,Sunday  8am-12:30pm,May 2-November 21,P/M,Y,N,N,Y,40.69992,-73.3245,"(40.69992, -73.3245)"
Cortland,Cortland Saturday Farmers' Market,Main St. btwn Court & Orchard Sts.,Main St and Orchard St,Cortland,NY,13045,Laura Morak,6077588331,,Saturday  8am-2pm,May 22-October 30,M,Y,Y,N,Y,42.60028,-76.18044,"(42.60028, -76.18044)"
Herkimer,Little Falls Farmers' & Flea Market,M&T Bank parking lot  Albany St.,Albany Street and 2nd Street,Little Falls,NY,13365,Mary Davis,3158662619,,Saturday  8am-12pm,May 1-October 30,P/M,Y,N,N,Y,43.04284,-74.85828,"(43.04284, -74.85828)"
